Serial Number,Timestamp,Longitude,Latitude,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Factor,PM4.0,PM10,Applied PM10 Custom Calibration Factor,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,Temperature,Relative Humidity,Device Status
,UTC,,,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,um,,Celsius,%,
81432039053,12/31/2021 10:51,-78.93799635,36.00350901,7,7,,7,7,,54,63,63,63,63,0.52,0,18.9,83,0
81432039050,12/31/2021 10:51,-78.93806341,36.00346491,4,4,,4,4,,31,36,36,36,36,0.59,0,25.6,36,0
81432039053,12/31/2021 10:36,-78.93799635,36.00350901,7,8,,8,8,,59,69,69,69,69,0.52,0,18.9,83,0
81432039050,12/31/2021 10:36,-78.93806341,36.00346491,4,4,,4,4,,32,37,37,37,37,0.57,0,25.6,36,0
81432039050,12/31/2021 10:21,-78.93806341,36.00346491,4,4,,4,4,,30,35,35,35,35,0.56,0,25.6,36,0
81432039053,12/31/2021 10:21,-78.93799635,36.00350901,8,8,,8,8,,63,73,74,74,74,0.5,0,18.8,84,0
81432039053,12/31/2021 10:06,-78.93799635,36.00350901,7,8,,8,8,,59,69,69,69,69,0.5,0,18.6,85,0
81432039050,12/31/2021 10:06,-78.93806341,36.00346491,4,4,,4,4,,29,33,34,34,34,0.54,0,25.6,36,0
81432039053,12/31/2021 09:51,-78.93799635,36.00350901,6,6,,6,6,,46,54,54,54,54,0.47,0,18.9,83,0
81432039050,12/31/2021 09:51,-78.93806341,36.00346491,3,3,,3,3,,25,29,29,29,29,0.56,0,25.7,36,0
81432039053,12/31/2021 09:36,-78.93799635,36.00350901,5,5,,5,5,,42,48,49,49,49,0.46,0,19.2,84,0
81432039050,12/31/2021 09:36,-78.93806341,36.00346491,3,3,,3,3,,23,26,27,27,27,0.53,0,25.7,36,0
81432039053,12/31/2021 09:21,-78.93799635,36.00350901,5,5,,5,5,,40,47,47,47,47,0.46,0,19.2,84,0
81432039050,12/31/2021 09:21,-78.93806341,36.00346491,3,3,,3,3,,22,25,26,26,26,0.53,0,25.7,36,0
81432039050,12/31/2021 09:06,-78.93806341,36.00346491,3,3,,3,3,,22,25,25,25,25,0.53,0,25.7,36,0
81432039053,12/31/2021 09:06,-78.93799635,36.00350901,4,5,,5,5,,36,42,42,42,42,0.46,0,19.4,83,0
81432039050,12/31/2021 08:51,-78.93806341,36.00346491,3,3,,3,3,,22,26,26,26,26,0.52,0,25.6,36,0
81432039053,12/31/2021 08:51,-78.93799635,36.00350901,4,5,,5,5,,36,42,42,42,42,0.47,0,19.4,84,0
81432039050,12/31/2021 08:36,-78.93806341,36.00346491,3,3,,3,3,,21,25,25,25,25,0.52,0,25.5,36,0
81432039053,12/31/2021 08:36,-78.93799635,36.00350901,4,5,,5,5,,35,41,41,41,41,0.46,0,19.1,84,0
81432039050,12/31/2021 08:21,-78.93806341,36.00346491,3,3,,3,3,,21,24,24,24,24,0.5,0,25.5,36,0
81432039053,12/31/2021 08:21,-78.93799635,36.00350901,4,4,,4,4,,34,39,39,39,39,0.45,0,19.2,82,0
81432039053,12/31/2021 08:06,-78.93799635,36.00350901,4,4,,4,4,,32,38,38,38,38,0.44,0,19.7,81,0
81432039050,12/31/2021 08:06,-78.93806341,36.00346491,3,3,,3,3,,21,24,24,24,24,0.52,0,25.6,36,0
81432039053,12/31/2021 07:51,-78.93799635,36.00350901,4,4,,4,4,,33,38,38,38,38,0.46,0,20.1,80,0
81432039050,12/31/2021 07:51,-78.93806341,36.00346491,3,3,,3,3,,23,26,26,26,26,0.52,0,25.7,36,0
81432039050,12/31/2021 07:36,-78.93806341,36.00346491,3,3,,3,3,,22,26,26,26,26,0.52,0,25.6,36,0
81432039053,12/31/2021 07:36,-78.93799635,36.00350901,4,4,,4,4,,33,38,38,38,38,0.45,0,20.1,81,0
