Serial Number,Timestamp,Longitude,Latitude,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Factor,PM4.0,PM10,Applied PM10 Custom Calibration Factor,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,Temperature,Relative Humidity,Device Status
,UTC,,,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,um,,Celsius,%,
81432039053,02/25/2022 07:22,-78.93799635,36.00350901,2,2,,2,2,,19,22,22,22,22,0.49,0,7.7,83,0
81432039074,02/25/2022 07:36,-78.93817,36.0036,2,2,,2,2,,16,19,19,19,19,0.61,0,7.1,84,0
81432039053,02/25/2022 07:37,-78.93799635,36.00350901,2,2,,2,2,,16,19,19,19,19,0.47,0,7.6,83,0
81432039072,02/25/2022 07:37,-78.938232,36.001427,2,2,,2,2,,16,18,19,19,19,0.58,0,7.3,84,0
81432039050,02/25/2022 07:37,-78.93806341,36.00346491,0,0,,0,0,,3,4,4,4,4,0.47,0,25.2,32,0
81432039074,02/25/2022 07:51,-78.93817,36.0036,2,2,,2,2,,17,20,21,21,21,0.61,0,7.0,84,0
81432039053,02/25/2022 07:52,-78.93799635,36.00350901,2,2,,2,2,,18,21,21,21,21,0.47,0,7.5,83,0
81432039072,02/25/2022 07:52,-78.938232,36.001427,2,2,,2,2,,16,19,19,19,19,0.61,0,7.2,84,0
81432039050,02/25/2022 07:52,-78.93806341,36.00346491,0,0,,0,0,,3,4,4,4,4,0.46,0,25.3,32,0
81432039074,02/25/2022 08:06,-78.93817,36.0036,2,2,,2,2,,18,22,22,22,22,0.66,0,7.0,84,0
81432039053,02/25/2022 08:07,-78.93799635,36.00350901,2,2,,2,2,,19,22,22,22,22,0.5,0,7.5,83,0
81432039050,02/25/2022 08:07,-78.93806341,36.00346491,0,0,,0,0,,3,4,4,4,4,0.49,0,25.3,32,0
81432039072,02/25/2022 08:07,-78.938232,36.001427,2,2,,2,2,,18,21,21,21,21,0.62,0,7.1,84,0
81432039074,02/25/2022 08:21,-78.93817,36.0036,2,2,,2,2,,16,19,20,20,20,0.64,0,7.0,84,0
81432039053,02/25/2022 08:22,-78.93799635,36.00350901,2,2,,2,2,,17,19,19,19,19,0.49,0,7.4,83,0
81432039072,02/25/2022 08:22,-78.938232,36.001427,2,2,,2,2,,16,19,19,19,19,0.63,0,7.1,84,0
81432039050,02/25/2022 08:22,-78.93806341,36.00346491,0,0,,0,0,,3,4,4,4,4,0.49,0,25.3,32,0
81432039074,02/25/2022 08:36,-78.93817,36.0036,2,2,,2,2,,14,17,17,17,17,0.64,0,7.0,84,0
81432039050,02/25/2022 08:37,-78.93806341,36.00346491,0,0,,0,0,,3,3,3,3,3,0.51,0,25.3,32,0
81432039072,02/25/2022 08:37,-78.938232,36.001427,2,2,,2,2,,14,17,17,17,17,0.6,0,7.2,84,0
81432039053,02/25/2022 08:37,-78.93799635,36.00350901,2,2,,2,2,,16,18,18,18,18,0.49,0,7.5,83,0
81432039074,02/25/2022 08:51,-78.93817,36.0036,2,2,,2,2,,16,19,19,19,19,0.63,0,7.1,84,0
81432039050,02/25/2022 08:52,-78.93806341,36.00346491,0,0,,0,0,,3,3,3,3,3,0.51,0,25.3,32,0
81432039053,02/25/2022 08:52,-78.93799635,36.00350901,2,2,,2,2,,18,20,20,20,20,0.5,0,7.6,83,0
81432039072,02/25/2022 08:52,-78.938232,36.001427,2,2,,2,2,,15,18,18,18,18,0.6,0,7.2,84,4
81432039074,02/25/2022 09:06,-78.93817,36.0036,2,2,,2,2,,17,20,20,20,20,0.64,0,7.2,84,0
81432039053,02/25/2022 09:07,-78.93799635,36.00350901,2,2,,2,2,,19,23,23,23,23,0.5,0,7.6,83,0
81432039050,02/25/2022 09:07,-78.93806341,36.00346491,0,0,,0,0,,3,3,3,3,3,0.47,0,25.4,32,0
81432039072,02/25/2022 09:07,-78.938232,36.001427,2,2,,2,2,,17,20,20,20,20,0.62,0,7.2,84,0
81432039074,02/25/2022 09:21,-78.93817,36.0036,2,2,,2,2,,17,20,20,20,20,0.65,0,7.1,85,0
81432039072,02/25/2022 09:22,-78.938232,36.001427,2,2,,2,2,,16,19,20,20,20,0.64,0,7.2,84,0
81432039053,02/25/2022 09:22,-78.93799635,36.00350901,2,2,,2,2,,19,22,22,22,22,0.51,0,7.5,83,0
81432039050,02/25/2022 09:22,-78.93806341,36.00346491,0,0,,0,0,,3,3,3,3,3,0.48,0,25.4,33,0
81432039074,02/25/2022 09:36,-78.93817,36.0036,2,2,,2,2,,18,21,22,22,22,0.68,0,7.1,85,0
81432039072,02/25/2022 09:37,-78.938232,36.001427,2,2,,2,2,,17,20,20,20,20,0.63,0,7.2,84,0
81432039050,02/25/2022 09:37,-78.93806341,36.00346491,0,0,,0,0,,3,3,3,3,3,0.49,0,25.3,33,0
81432039053,02/25/2022 09:37,-78.93799635,36.00350901,2,2,,2,2,,20,23,23,23,23,0.49,0,7.6,83,0
81432039074,02/25/2022 09:51,-78.93817,36.0036,2,2,,2,2,,18,22,22,22,22,0.69,0,7.2,85,0
81432039050,02/25/2022 09:52,-78.93806341,36.00346491,0,0,,0,0,,3,3,3,3,3,0.49,0,25.2,33,0
81432039072,02/25/2022 09:52,-78.938232,36.001427,2,2,,2,2,,17,20,20,20,20,0.65,0,7.3,84,0
81432039053,02/25/2022 09:52,-78.93799635,36.00350901,2,2,,2,2,,20,23,23,23,23,0.52,0,7.6,83,0
81432039074,02/25/2022 10:06,-78.93817,36.0036,2,2,,2,2,,17,20,20,20,20,0.69,0,7.3,85,0
81432039050,02/25/2022 10:07,-78.93806341,36.00346491,0,0,,0,0,,2,3,3,3,3,0.5,0,25.2,32,0
81432039053,02/25/2022 10:07,-78.93799635,36.00350901,2,2,,2,2,,18,21,21,21,21,0.55,0,7.7,83,0
81432039072,02/25/2022 10:07,-78.938232,36.001427,2,2,,2,2,,15,18,18,18,18,0.66,0,7.3,84,0
81432039074,02/25/2022 10:21,-78.93817,36.0036,2,2,,2,2,,17,20,20,20,20,0.68,0,7.4,85,0
81432039050,02/25/2022 10:22,-78.93806341,36.00346491,0,0,,0,0,,2,3,3,3,3,0.51,0,25.2,32,0
81432039053,02/25/2022 10:22,-78.93799635,36.00350901,2,2,,2,2,,19,22,22,22,22,0.56,0,7.8,83,0
81432039072,02/25/2022 10:22,-78.938232,36.001427,2,2,,2,2,,16,19,20,20,20,0.68,0,7.5,84,0
81432039074,02/25/2022 10:36,-78.93817,36.0036,2,2,,2,2,,15,19,19,19,19,0.76,0,7.4,85,0
81432039072,02/25/2022 10:37,-78.938232,36.001427,2,2,,2,2,,15,18,18,18,18,0.66,0,7.5,84,0
81432039050,02/25/2022 10:37,-78.93806341,36.00346491,0,0,,0,0,,2,3,3,3,3,0.49,0,25.3,32,0
81432039053,02/25/2022 10:37,-78.93799635,36.00350901,2,2,,2,2,,17,20,20,20,20,0.52,0,7.8,83,0
81432039074,02/25/2022 10:51,-78.93817,36.0036,2,2,,2,2,,16,19,19,19,19,0.73,0,7.3,85,0
81432039053,02/25/2022 10:52,-78.93799635,36.00350901,2,2,,2,2,,17,20,20,20,20,0.53,0,7.8,83,0
81432039050,02/25/2022 10:52,-78.93806341,36.00346491,0,0,,0,0,,2,3,3,3,3,0.49,0,25.4,32,0
81432039072,02/25/2022 10:52,-78.938232,36.001427,2,2,,2,2,,16,18,19,19,19,0.66,0,7.4,85,0
81432039074,02/25/2022 11:06,-78.93817,36.0036,2,2,,2,2,,16,20,20,20,20,0.71,0,7.5,85,0
81432039072,02/25/2022 11:07,-78.938232,36.001427,2,2,,2,2,,16,19,19,19,19,0.71,0,7.6,85,0
81432039050,02/25/2022 11:07,-78.93806341,36.00346491,0,0,,0,0,,2,3,3,3,3,0.49,0,25.3,32,0
81432039053,02/25/2022 11:07,-78.93799635,36.00350901,2,2,,2,2,,19,22,22,22,22,0.53,0,7.8,84,0
81432039074,02/25/2022 11:21,-78.93817,36.0036,2,2,,2,2,,17,20,20,21,21,0.72,0,7.5,85,0
81432039050,02/25/2022 11:22,-78.93806341,36.00346491,0,0,,0,0,,3,3,3,3,3,0.51,0,25.3,34,0
81432039053,02/25/2022 11:22,-78.93799635,36.00350901,2,2,,2,2,,20,23,23,23,23,0.57,0,7.9,84,0
81432039072,02/25/2022 11:22,-78.938232,36.001427,2,2,,2,2,,17,20,20,20,20,0.71,0,7.6,85,0
81432039074,02/25/2022 11:36,-78.93817,36.0036,2,2,,3,3,,17,21,21,21,21,0.75,0,7.4,85,0
81432039072,02/25/2022 11:37,-78.938232,36.001427,2,2,,2,2,,17,20,20,20,20,0.7,0,7.5,85,0
81432039050,02/25/2022 11:37,-78.93806341,36.00346491,0,0,,0,0,,3,3,3,3,3,0.51,0,25.3,35,0
81432039053,02/25/2022 11:37,-78.93799635,36.00350901,2,2,,2,2,,20,24,24,24,24,0.53,0,7.8,84,0
81432039074,02/25/2022 11:51,-78.93817,36.0036,2,2,,2,2,,17,20,20,20,20,0.74,0,7.4,86,0
81432039053,02/25/2022 11:52,-78.93799635,36.00350901,2,2,,2,2,,19,23,23,23,23,0.55,0,7.8,84,0
81432039072,02/25/2022 11:52,-78.938232,36.001427,2,2,,2,2,,16,19,20,20,20,0.72,0,7.5,85,0
81432039050,02/25/2022 11:52,-78.93806341,36.00346491,0,0,,0,0,,3,3,3,3,3,0.49,0,25.3,35,0
81432039074,02/25/2022 12:06,-78.93817,36.0036,2,2,,2,2,,16,19,19,20,20,0.75,0,7.6,86,0
81432039072,02/25/2022 12:07,-78.938232,36.001427,2,2,,3,3,,16,19,20,20,20,0.78,0,7.7,85,0
81432039053,02/25/2022 12:07,-78.93799635,36.00350901,2,2,,2,2,,19,22,22,22,22,0.56,0,8.0,84,0
